2023-04-22T14:25:12.071Z, info, POST /admin/login, user login successfully
2023-04-22T14:26:00.543Z, info, GET /admin/searchUserManagement, Data fetched successfully
2023-04-22T14:27:07.352Z, info, GET /admin/searchItemManagement, Data fetched successfully
2023-04-22T14:28:29.289Z, error, GET /admin/searchItemManagement, Data not found
2023-04-22T14:28:35.054Z, error, GET /admin/searchItemManagement, Data not found
2023-04-22T14:29:37.002Z, error, GET /admin/searchItemManagement, Data not found
2023-04-22T14:30:56.395Z, info, GET /admin/searchItemManagement, Data fetched successfully
2023-04-22T14:31:12.314Z, error, GET /admin/searchItemManagement, Data not found
2023-04-22T14:33:48.303Z, info, GET /admin/searchItemManagement, Data fetched successfully
2023-04-22T14:33:51.407Z, info, GET /admin/searchItemManagement, Data fetched successfully
2023-04-22T14:34:28.023Z, error, GET /admin/searchOrderManagement, Data not found
2023-04-22T14:34:47.182Z, info, GET /admin/searchOrderManagement, Data fetched successfully
2023-04-22T14:35:20.232Z, info, GET /admin/searchOrderManagement, Data fetched successfully
2023-04-23T08:25:42.890Z, error, POST /admin/register, unable to create
2023-04-23T08:26:32.108Z, error, POST /admin/register, unable to create
2023-04-23T08:26:55.154Z, error, POST /admin/register, unable to create
2023-04-23T08:26:56.764Z, error, POST /admin/register, unable to create
2023-04-23T08:27:18.801Z, info, POST /admin/login, user login successfully
2023-04-23T08:29:21.591Z, info, POST /admin/register, user created
2023-04-23T08:30:06.469Z, info, POST /admin/login, user login successfully
2023-04-23T08:38:20.963Z, info, POST /admin/login, user login successfully
2023-04-23T08:38:51.234Z, info, POST /admin/login, user login successfully
2023-04-23T08:39:05.994Z, error, POST /admin/createCategory, Data not found internal Server Error
2023-04-23T08:43:17.671Z, error, POST /admin/createCategory, Bad Request Error Request failed with status code 400
2023-04-23T08:43:25.904Z, info, POST /admin/createCategory, category created
2023-04-23T08:44:24.131Z, error, POST /admin/createCategory, Bad Request Error Request failed with status code 400
